Item number,Normal description,Vintage,Item notes,Size description,Long description,Units per case,Unit retail,Pack retail,Units per pack,(Warm) Case retail,Quantity on hand,Most recent upc code,Department name,Group name,Sub-departmentname,Primary vendor,Proof,Tax flag,Unit sale retail,Case sale retail,Date sale starts,Date sale ends,Tasting/other notes,Country of origin,Region,Sub region #1,Sub region #2,Grape,Color,Classification,Wine Maker,Winery,Special rating,Parker rating,Other Rating,Featured Item? Y/N ,Web Address of product,Invoice Cost per Bottle,Sale Type Code (standard) ,Pack Sale Price,Full Case Discount ,Mixed Case Discount,Web selling Threshold(Max),Web Groupings,Web unit Price,Web Pack price,Web Case Price,Web Unit Sale,Web Pack Sale,Web Case Sale,Web Sale Type,Web Sale Starting Date,Web Sale Ending Date,Number units on openPO’s,Points,Web Code,Available to Sell,Continent,Vineyard,Item Flags,On C/O,Full Bar Code (Prefix,Data,Suffix),Date Item Inserted,URL of Item Image,Location,Wine Condition,Gross Weight of product (forshipping),Tax Rate,Imported Item Number(conversions),Reserved 71,Reserved 72,Reserved 73,Reserved 74,Reserved 75,Reserved 76,Reserved 77,Reserved 78,Reserved 79,Reserved 80,Reserved 81
00092,BAILEYS IRISH CREAM,,,50ML,1036,80,1.99,0.00,1,0.00,54,8676721012,LIQUOR,LIQUOR,LIQUEURS,0000064,0.00,Y,,,,,,UNITED STATES,,,,,,CREAM LIQUEUR,,,,,0.15,N,,1.3944,,0.00,,,,,16.99,,,,,,,,,80,,,134,,,ALOISVbW,0,086767210128,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00094,HIGHLAND PARK 12YR,,,750ML,10369,6,45.99,0.00,1,0.00,19,1206602030,LIQUOR,LIQUOR,SINGLE MALT SCOTCH,0000038,0.00,Y,42.99,,2019-03-08,2020-05-31,,SCOTLAND,HIGHLANDS ,,,,,SINGLE MALT,,,,,2.95,N,,32.5867,B,0.00,,,,,18.99,,,,,,,,,0,,,19,,,ALOISVbW,0,812066020300,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00096,FRANCISCAN CABERNET SAUVIGNON,,,750ML,10372,12,27.99,0.00,1,0.00,60,8308520022,NEW WORLD WINE,WINE,CABERNET SAUVIGNON,0000056,0.00,Y,17.99,,2019-03-08,2020-05-31,,UNITED STATES,NAPA VALLEY/CARNEROS,,,CABERNET SAUVIGNON,RED,,,,,,2.85,N,,13.5708,A,0.00,10,10,,,,,,,,,,,,0,,,60,,,ADLOISVbW,0,083085200220,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00097,TRAQUAIR HOUSE ALE,,,16OZ,10386,12,7.99,0.00,1,78.99,7,8572503108,BEER,BEER,IMPORTED BEER,0000062,0.00,Y,,,,,,SCOTLAND,,,,,,SCOTCH ALE/WEE HEAVY,,,,,,N,,5.9242,,0.00,,,,,,,,,,,,,,0,,,7,,,ALOSIKVbW,0,085725031089,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00098,ABSOLUT CITRON,,,50ML,1039,120,1.99,0.00,1,0.00,106,3522900100,LIQUOR,LIQUOR,VODKA,00000270,0.00,Y,,,,,,SWEDEN,,,,,,FLAVORED VODKA,,,,,,N,,0.9900,,0.00,,,,,,,,,,,,,,0,,,106,,,ALOISVbW,0,835229001008,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00100,FREIXENET CORDON NEGRO BRUT,,,375ML,10396,12,7.99,0.00,1,0.00,8,3329300320,OLD WORLD WINE,WINE,OLD WORLD SPARKLING WINE,0000027,0.00,Y,,,,,,SPAIN,,,,BRUT,WHITE,,,,,,1.95,N,,5.9942,,0.00,,,,,,,,,,,,,,0,,,8,,,ALOSVIKbW,0,033293003205,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00101,MARTINI & ROSSI ROSSO,,,750ML,104,6,9.99,0.00,1,0.00,34,1103441005,LIQUOR,LIQUOR,VERMOUTH,00162,0.00,Y,,,,,,ITALY,,,,,,SWEET VERMOUTH,,,,,2.85,N,,7.0267,,0.00,,,,,55.99,,,,,,,,,0,,,34,,,ALOSVIKbW,0,011034410055,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00102,GOLDSCHLAGER CINNAMON SCHNAPPS,,,50ML,1040,120,2.29,0.00,1,0.00,36,8676750012,LIQUOR,LIQUOR,SCHNAPPS,0000038,0.00,Y,,,,,,SWITZERLAND,,,,,,SCHNAPPS,,,,,0.15,N,,1.3300,,0.00,,,,,,,,,,,,,,0,,,36,,,ALOSVIKbW,0,086767500120,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00103,GREY GOOSE VODKA L ORANGE,,,1.75L,10418,6,51.99,0.00,1,0.00,14,8048028101,LIQUOR,LIQUOR,VODKA,00162,0.00,Y,45.99,,2019-03-08,2020-05-31,,FRANCE,,,,,,FLAVORED VODKA,,,,,6.70,N,,40.9900,L,0.00,,,,,14.99,,,,,,,,,0,,,14,,,ALOISVbW,0,080480281014,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00107,KE KE BEACH KEY LIME LIQUEUR,,,750ML,10425,12,19.99,0.00,1,0.00,8,8559211934,LIQUOR,LIQUOR,LIQUEURS,0000060,0.00,Y,,,,,,UNITED STATES,,,,,,LIQUEUR,,,,,3,N,,14.0742,,0.00,,,,,,,,,,,,,,0,,,8,,,ALOSVIKbW,0,085592119347,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
